#options: 480x854 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=30 rc=abr mbtree=1 bitrate=3604 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:33 out:34 type:b dur:2 cpbdur:2 q:13.22 aq:11.33 tex:2838 mv:558 misc:476 imb:0 pmb:73 smb:1547 d:- ref:0 ;
in:36 out:35 type:P dur:2 cpbdur:2 q:11.17 aq:3.52 tex:251511 mv:2100 misc:1053 imb:11 pmb:1215 smb:394 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:11.88 aq:12.14 tex:979 mv:307 misc:546 imb:0 pmb:80 smb:1540 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:10.33 aq:3.16 tex:175643 mv:1718 misc:1391 imb:14 pmb:1067 smb:539 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:10.75 aq:8.16 tex:12401 mv:1214 misc:1081 imb:0 pmb:337 smb:1283 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:10.96 aq:12.55 tex:326 mv:85 misc:317 imb:0 pmb:20 smb:1600 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:10.54 aq:12.68 tex:707 mv:160 misc:421 imb:0 pmb:51 smb:1569 d:- ref:0 ;
in:42 out:41 type:P dur:2 cpbdur:2 q:8.79 aq:2.12 tex:214038 mv:1462 misc:1116 imb:36 pmb:1181 smb:403 d:- ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:9.56 aq:1.65 tex:335 mv:85 misc:324 imb:0 pmb:22 smb:1598 d:- ref:0 ;
in:44 out:43 type:P dur:2 cpbdur:2 q:7.84 aq:1.52 tex:191666 mv:1465 misc:1245 imb:15 pmb:1132 smb:473 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:8.32 aq:1.46 tex:942 mv:205 misc:629 imb:0 pmb:91 smb:1529 d:- ref:0 ;
in:46 out:45 type:P dur:2 cpbdur:2 q:7.73 aq:1.45 tex:154721 mv:2087 misc:1368 imb:24 pmb:1086 smb:510 d:- ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:7.79 aq:2.42 tex:3653 mv:227 misc:592 imb:0 pmb:97 smb:1523 d:- ref:0 ;
